AgeGroup,Genero,PesoCat,Movimiento,Marca,Nombre,Fecha,Lugar
Junior,F,49,Envion,44,Stacy Aguilar Hernandez,6/13/2026,Campeonato Nacional JUN 2026
Junior,F,57,Arranque,50,Jimena Vergara Ulloa,6/13/2026,Campeonato Nacional JUN 2026
Junior,F,57,Envion,68,Jimena Vergara,6/13/2026,Campeonato Nacional JUN 2026
Junior,F,61,Arranque,63,Luisa Madrigal Leon,6/13/2026,Campeonato Nacional JUN 2026
Junior,F,61,Envion,79,Daphne Montes Portuguez,6/13/2026,Campeonato Nacional JUN 2026
Junior,F,77,Envion,97,Desiree Chavarria Vindas,6/14/2026,Campeonato Nacional JUN 2026
Junior,F,>86,Arranque,50,Valentina Zuniga Arias,6/14/2026,Campeonato Nacional JUN 2026
Junior,F,>86,Envion,69,Valentina Zuniga Arias,6/14/2026,Campeonato Nacional JUN 2026
Youth,M,60,Arranque,77,Santiago Lazo Retana,6/13/2026,Campeonato Nacional JUN 2026
Youth,M,60,Envion,95,Santiago Lazo Retana,6/13/2026,Campeonato Nacional JUN 2026
Youth,M,70,Arranque,95,Luis Poveda Hernandez,6/13/2026,Campeonato Nacional JUN 2026
Youth,M,70,Envion,122,Luis Poveda Hernandez,6/13/2026,Campeonato Nacional JUN 2026
Youth,M,75,Arranque,83,Kevin Zelaya Lopez,6/13/2026,Campeonato Nacional JUN 2026
Youth,M,75,Envion,101,Kevin Zelaya Lopez,6/13/2026,Campeonato Nacional JUN 2026
Youth,M,85,Arranque,74,Santiago Rivera Marin,6/13/2026,Campeonato Nacional JUN 2026
Youth,M,85,Envion,90,Santiago Rivera Marin,6/13/2026,Campeonato Nacional JUN 2026
Youth,M,95,Arranque,75,Greivin Miranda Araya,6/14/2026,Campeonato Nacional JUN 2026
Youth,M,95,Envion,96,Greivin Miranda Araya,6/14/2026,Campeonato Nacional JUN 2026
Youth,M,>95,Arranque,122,Thomas Chinchilla Mora,6/14/2026,Campeonato Nacional JUN 2026
Youth,M,>95,Envion,150,Thomas Chinchilla Mora,6/14/2026,Campeonato Nacional JUN 2026
Youth,F,49,Arranque,36,Stacy Aguilar Hernandez,6/13/2026,Campeonato Nacional JUN 2026
Youth,F,49,Envion,44,Stacy Aguilar Hernandez,6/13/2026,Campeonato Nacional JUN 2026
Youth,F,61,Arranque,63,Luisa Madrigal Leon,6/13/2026,Campeonato Nacional JUN 2026
Youth,F,61,Envion,79,Daphne Montes Portuguez,6/13/2026,Campeonato Nacional JUN 2026
Youth,F,69,Arranque,63,Dulce Montes Portuguez,6/13/2026,Campeonato Nacional JUN 2026
Youth,F,69,Envion,86,Sharon Jimenez Chacon,6/13/2026,Campeonato Nacional JUN 2026
Youth,F,77,Arranque,70,Isabella Gonzalez Rodriguez,6/14/2026,Campeonato Nacional JUN 2026
Youth,F,77,Envion,85,Isabella Gonzalez Rodriguez,6/14/2026,Campeonato Nacional JUN 2026
Youth,F,>77,Arranque,60,Tamara Gonzalez Villalobos,6/14/2026,Campeonato Nacional JUN 2026
Youth,F,>77,Envion,75,Tamara Gonzalez Villalobos,6/14/2026,Campeonato Nacional JUN 2026
